page_domain_root,type,country
nr2.com.ua,nonrelevant,Ukraine
krsk.sibnovosti.ru,relevant,Russia
culture.ru,nonrelevant,Russia
donpress.com,nonrelevant,Ukraine
uralpress.ru,relevant,Russia
sitv.ru,relevant,Russia
amur.info,relevant,Russia
nashagazeta.net,nonrelevant,Donetsk
teleport2001.ru,relevant,Russia
metronews.ru,relevant,Russia
1tv.ru,relevant,Russia
saratov.kp.ru,relevant,Russia
gazeta.ee,nonrelevant,Estonia
365info.kz,nonrelevant,Kazakhstan
knews.kg,nonrelevant,Kyrgyzstan
lesindustry.ru,nonrelevant,Russia
progorodnn.ru,relevant,Russia
abnews.ru,relevant,Russia
ko.ru,relevant,Russia
moya-planeta.ru,nonrelevant,Russia
interfax.az,nonrelevant,Azerbaijan
portal-kultura.ru,relevant,Russia
evening-kazan.ru,relevant,Russia
quote.rbc.ru,relevant,Russia
ukraine.segodnya.ua,underpressure,Ukraine
trud.ru,relevant,Russia
izh.kp.ru,relevant,Russia
radiovesti.ru,relevant,Russia
kirov.kp.ru,relevant,Russia
korabel.ru,unknown,Russia
newizv.ru,underpressure,Russia
newsomsk.ru,relevant,Russia
azattyk.org,nonrelevant,Kyrgyzstan
akm.ru,unknown,Russia
2x2.su,relevant,Russia
ostro.org,nonrelevant,Ukraine
infpol.ru,relevant,Russia
vesti-ua.net,nonrelevant,Ukraine
nsktv.ru,relevant,Russia
misanec.ru,relevant,Russia
uaport.net,nonrelevant,Ukraine
bagnet.org,nonrelevant,Ukraine
inpavposad.ru,relevant,Russia
chel.kp.ru,relevant,Russia
yar.kp.ru,relevant,Russia
lgz.ru,relevant,Russia
kuban24.tv,relevant,Russia
t-l.ru,relevant,Russia
loveradio.ru,nonrelevant,Russia
severinform.ru,relevant,Russia
newtimes.ru,underpressure,Russia
afisha.ru,nonrelevant,Russia
volgograd.kp.ru,relevant,Russia
lezgigazet.ru,relevant,Russia
vb.by,nonrelevant,Belarus
sportrbc.ru,nonrelevant,Russia
krymr.com,underpressure,Czechia
vsluh.ru,relevant,Russia
afn.by,unknown,Belarus
dialog.ua,nonrelevant,Ukraine
kyiv.tsn.ua,nonrelevant,Ukraine
kaliningrad.kp.ru,relevant,Russia
nat-geo.ru,nonrelevant,Russia
zdr.ru,nonrelevant,Russia
niann.ru,relevant,Russia
kazan.kp.ru,relevant,Russia
forbes.ru,relevant,Russia
nnov.kp.ru,relevant,Russia
ladaonline.ru,nonrelevant,Russia
izvestia.kiev.ua,nonrelevant,Ukraine
dumskaya.net,underpressure,Ukraine
dagpravda.ru,relevant,Russia
internovosti.ru,relevant,Russia
energyland.info,relevant,Russia
moidagestan.ru,relevant,Russia
style.rbc.ru,nonrelevant,Russia
currenttime.tv,underpressure,Russia
graniru.org,underpressure,Russia
comandir.com,relevant,Russia
hi-fidelity-forum.com,nonrelevant,Russia
nbnews.com.ua,nonrelevant,Ukraine
news.vdv-s.ru,unknown,Russia
utro.ru,relevant,Russia
vchaspik.ua,nonrelevant,Ukraine
vokrugsveta.ru,nonrelevant,Russia
council.gov.ru,relevant,Russia
vecherniy.kharkov.ua,nonrelevant,Ukraine
nsk.rbc.ru,relevant,Russia
donbass.ua,nonrelevant,Ukraine
kuban.rbc.ru,relevant,Russia
vedomosti.md,nonrelevant,Moldova
medportal.ru,nonrelevant,Russia
sport-express.ru,nonrelevant,Russia
rus.delfi.lv,nonrelevant,Latvia
sud.ua,nonrelevant,Ukraine
patriarchia.ru,relevant,Russia
time-samara.ru,nonrelevant,Ukraine
stars.segodnya.ua,relevant,Russia
aoinform.com,nonrelevant,Ukraine
dengi.ua,nonrelevant,Ukraine
glavnoe.ua,nonrelevant,Ukraine
trud-ost.ru,nonrelevant,Ukraine
eizvestia.com,unknown,izvestia.com
newsprom.ru,relevant,Russia
ngs.ru,relevant,Russia
sibdepo.ru,relevant,Russia
uzdaily.uz,nonrelevant,Uzbekistan
mirf.ru,nonrelevant,Russia
supcourt.ru,relevant,Russia
avesta.tj,unknown,unknown
vgr.by,nonrelevant,Belarus
apn.ru,relevant,Russia
justmedia.ru,relevant,Russia
ua-reporter.com,nonrelevant,Ukraine
government.ru,relevant,Russia
metalportal.com.ua,nonrelevant,Ukraine
vmnews.ru,relevant,Russia
svpressa.ru,relevant,Russia
zonakz.net,nonrelevant,Kazakhstan
geopolitica.ru,relevant,Russia
